month,geoid,tract,type
2018-10-01,36067003400,34,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067005200,52,Larceny
2018-10-01,36067001000,10,Larceny
2018-10-01,36067001000,10,Larceny
2018-10-01,36067003602,36.02,Larceny
2018-10-01,36067004500,45,Larceny
2018-10-01,36067005900,59,Larceny
2018-10-01,36067004500,45,Robbery
2018-10-01,36067005400,54,Robbery
2018-10-01,36067001701,17.01,Vehicle theft
2018-10-01,36067001000,10,Vehicle theft
2018-10-01,36067003400,34,Vehicle theft
2018-10-01,36067005700,57,Aggravated assault
2018-10-01,36067001800,18,Aggravated assault
2018-10-01,36067004000,40,Aggravated assault
2018-10-01,36067000700,07,Burglary
2018-10-01,36067000800,08,Burglary
2018-10-01,36067001702,17.02,Burglary
2018-10-01,36067003000,30,Burglary
2018-10-01,36067001000,10,Larceny
2018-10-01,36067006103,61.03,Larceny
2018-10-01,36067003200,32,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067002700,27,Larceny
2018-10-01,36067003000,30,Larceny
2018-10-01,36067005400,54,Robbery
2018-10-01,36067005400,54,Robbery
2018-10-01,36067001702,17.02,Aggravated assault
2018-10-01,36067006101,61.01,Burglary
2018-10-01,36067004500,45,Larceny
2018-10-01,36067005200,52,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067002901,29.01,Larceny
2018-10-01,36067002901,29.01,Larceny
2018-10-01,36067000900,09,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067001600,16,Robbery
2018-10-01,36067000700,07,Vehicle theft
2018-10-01,36067000501,05.01,Vehicle theft
2018-10-01,36067000900,09,Vehicle theft
2018-10-01,36067005000,50,Vehicle theft
2018-10-01,36067001500,15,Aggravated assault
2018-10-01,36067004400,44,Burglary
2018-10-01,36067000700,07,Burglary
2018-10-01,36067004302,43.02,Burglary
2018-10-01,36067000200,02,Burglary
2018-10-01,36067004600,46,Larceny
2018-10-01,36067005400,54,Larceny
2018-10-01,36067003000,30,Larceny
2018-10-01,36067004302,43.02,Larceny
2018-10-01,36067004600,46,Larceny
2018-10-01,36067003200,32,Larceny
2018-10-01,36067005900,59,Larceny
2018-10-01,36067003400,34,Vehicle theft
2018-10-01,36067002300,23,Vehicle theft
2018-10-01,36067006101,61.01,Vehicle theft
2018-10-01,36067003602,36.02,Aggravated assault
